61379,61385
1001,1007
63886,63895
35267,35256
6837,6848
33976,33985
58322,58328
96655,96604
82473,596947
56098,56109
19703,19709
68398,68382
64516,64526
33346,33352
30023,30025
84155,84165
62135,24039
42137,42143
37517,37519
92244,92251
78653,44721
74575,74583
65069,65046
53915,53921
69740,69745
72906,72911
95485,95490
53535,53544
68660,68623
17246,17255
71996,72001
7903,521956
99327,99330
20598,20597
9158,9369
20856,20861
31941,31948
69116,69099
61525,61205
24264,69661
84217,84217
96040,96046
95852,95855
57928,57896
72776,72775
31821,533397
94993,95004
55005,54967
71671,16745
55618,55609
93993,94003
667,541582
85928,85934
99555,99558
23501,23507
3721,3723
59241,21046
76887,76895
72600,72609
59932,59944
11240,11247
24785,24790
24956,24964
49365,49371
56557,56565
23349,23355
48315,48320
684,498
44561,43977
77496,77498
74734,28485
74935,46004
3640,3485
75405,74427
33934,33942
55386,55385
35767,35773
40057,40065
27486,27485
63829,63836
9207,9218
67415,67411
34106,34060
55245,55255
89265,89185
95343,95352
13742,13746
28065,28055
30503,542927
32543,32553
5929,5938
6384,873412
49379,49389
29004,74401
99301,99304
29162,28537
5998,6003
25155,25156
85915,85926
71853,71859
